id,order,judul,poster,video,description,audio,segmen,active,nama_post_test,tgl_launch,media_id_post_test,timestamp
1,1,Pengaturan PKWT & PHK  <br> Yuli Adiratna SH Mhum.,irforumposter.jpg,Ir_Forum_Ensight-1.mp4,\N,\N,\N,1,\N,\N,\N,2022-08-02 13:58:10
2,2,Manage People <br> Hendra Tanumihardja,hendra.png,Hendra_Tanumihardja.mp4,\N,\N,\N,1,\N,\N,\N,2022-08-30 10:45:16
3,3,"Leaders Innovation Forum : Manage IT, Jayaprawirya Diah",jayaprawiryadiah.jpeg,Jayaprawirya_Diah-1.mp4,\N,\N,\N,0,\N,\N,\N,2022-08-30 10:57:33
4,4,Forum K3 : Training APAR,\N,Forum_K3_Training_Apar-1.mp4,\N,\N,\N,1,\N,\N,\N,2022-08-30 11:20:32
5,5,Beyond Process Creative & inovative<br> Stanley Handiono,stanley.png,BeyondProcess.mp4,\N,\N,\N,0,\N,\N,\N,2022-08-30 11:29:22
6,6,Penerapan Tekhnologi Pada Transportasi<br>DR IR Berty Argiyantari MM CISCP,buBerty.png,teknologi_transport.mp4,\N,\N,\N,0,\N,\N,\N,2022-08-30 13:9:11
7,10,"Be The Winner In Midst Of Uncertainties<br> Prof. Rhenald Kasali, Ph.D.",rhenald.jpg,RenaldKsali.mp4,\N,\N,\N,0,\N,\N,\N,2022-09-08 14:44:2
8,7,Reach To Next Level<br>Haryanto Kandani,kandani.jpeg,Haryanto_Kandani1_1.mp4,\N,\N,\N,0,\N,\N,\N,2022-09-08 14:50:11
9,8,Be Unstopable<br> louis sastrawijaya,beunstopable.jpg,BeUnstopableEnsight.mp4,\N,\N,\N,0,\N,\N,\N,2022-09-08 14:57:52
10,9,Literasi Digital <br> DR.Joseph M J RENWARIN,literasi_digital.png,Joseph_Renwarin.mp4,\N,\N,\N,0,\N,\N,\N,2022-09-09 14:47:19
11,11,Go Beyond Thought Active Reskilling,\N,reskiling.mp4,\N,\N,\N,0,\N,\N,\N,2023-02-21 11:19:43
